Category,City,Country,Customer ID,Customer Name,Discount,Number of Records,Order Date,Order ID (Returns),Order ID,Person,Postal Code,Product ID,Product Name,Profit,Quantity,Region (People),Region,Returned,Row ID,Sales,Segment,Ship Date,Ship Mode,State1,Sub-Category
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,OFF-AR-10003056,Newell 341,$2,2,West,West,Yes,19,8.56,Consumer,9/1/2016,Second Class,California,Art
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,OFF-AR-10003056,Newell 341,$2,2,West,West,Yes,19,8.56,Consumer,9/1/2016,Second Class,California,Art
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,OFF-AR-10003056,Newell 341,$2,2,West,West,Yes,19,8.56,Consumer,9/1/2016,Second Class,California,Art
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,$16,3,West,West,Yes,20,213.48,Consumer,9/1/2016,Second Class,California,Phones
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,$16,3,West,West,Yes,20,213.48,Consumer,9/1/2016,Second Class,California,Phones
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,$16,3,West,West,Yes,20,213.48,Consumer,9/1/2016,Second Class,California,Phones
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",$7,4,West,West,Yes,21,22.72,Consumer,9/1/2016,Second Class,California,Binders
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",$7,4,West,West,Yes,21,22.72,Consumer,9/1/2016,Second Class,California,Binders
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,CA-2016-143336,Anna Andreadi,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",$7,4,West,West,Yes,21,22.72,Consumer,9/1/2016,Second Class,California,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,Yes,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,Yes,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,Yes,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,Yes,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,Yes,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,Yes,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,Yes,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,Yes,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,Yes,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,Yes,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,Yes,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,Yes,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,Yes,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,Yes,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,Yes,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,Yes,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,Yes,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,Yes,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,Yes,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,Yes,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,Yes,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,Yes,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,Yes,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,Yes,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
