Category,City,Country,Customer ID,Customer Name,Discount,Number of Records,Order Date,Order ID,Person,Postal Code,Product ID,Product Name,Profit,Quantity,Region (People),Region,Row ID,Sales,Segment,Ship Date,Ship Mode,State1,Sub-Category
Furniture,Henderson,United States,CG-12520,Claire Gute,0,1,11/8/2018,CA-2018-152156,Cassandra Brandow,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,$42,2,South,South,1,261.96,Consumer,11/11/2018,Second Class,Kentucky,Bookcases
Furniture,Henderson,United States,CG-12520,Claire Gute,0,1,11/8/2018,CA-2018-152156,Cassandra Brandow,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$220,3,South,South,2,731.94,Consumer,11/11/2018,Second Class,Kentucky,Chairs
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,0,1,6/12/2018,CA-2018-138688,Anna Andreadi,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,$7,2,West,West,3,14.62,Corporate,6/16/2018,Second Class,California,Labels
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,0.45,1,10/11/2017,US-2017-108966,Cassandra Brandow,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,-$383,5,South,South,4,957.5775,Consumer,10/18/2017,Standard Class,Florida,Tables
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,0.2,1,10/11/2017,US-2017-108966,Cassandra Brandow,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,$3,2,South,South,5,22.368,Consumer,10/18/2017,Standard Class,Florida,Storage
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,0,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$14,7,West,West,6,48.86,Consumer,6/14/2016,Standard Class,California,Furnishings
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,OFF-AR-10002833,Newell 322,$2,4,West,West,7,7.28,Consumer,6/14/2016,Standard Class,California,Art
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,$91,6,West,West,8,907.152,Consumer,6/14/2016,Standard Class,California,Phones
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,$6,3,West,West,9,18.504,Consumer,6/14/2016,Standard Class,California,Binders
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,0,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,$34,5,West,West,10,114.9,Consumer,6/14/2016,Standard Class,California,Appliances
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,$85,9,West,West,11,1706.184,Consumer,6/14/2016,Standard Class,California,Tables
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,$68,4,West,West,12,911.424,Consumer,6/14/2016,Standard Class,California,Phones
Office Supplies,Concord,United States,AA-10480,Andrew Allen,0.2,1,4/15/2019,CA-2019-114412,Cassandra Brandow,28027,OFF-PA-10002365,Xerox 1967,$5,3,South,South,13,15.552,Consumer,4/20/2019,Standard Class,North Carolina,Paper
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,0.2,1,12/5/2018,CA-2018-161389,Anna Andreadi,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,$133,3,West,West,14,407.976,Consumer,12/10/2018,Standard Class,Washington,Binders
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,0.8,1,11/22/2017,US-2017-118983,Kelly Williams,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-$124,5,Central,Central,15,68.81,Home Office,11/26/2017,Standard Class,Texas,Appliances
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,0.8,1,11/22/2017,US-2017-118983,Kelly Williams,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,-$4,3,Central,Central,16,2.544,Home Office,11/26/2017,Standard Class,Texas,Binders
Office Supplies,Madison,United States,PK-19075,Pete Kriz,0,1,11/11/2016,CA-2016-105893,Kelly Williams,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$13,6,Central,Central,17,665.88,Consumer,11/18/2016,Standard Class,Wisconsin,Storage
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,0,1,5/13/2016,CA-2016-167164,Anna Andreadi,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,$10,2,West,West,18,55.5,Consumer,5/15/2016,Second Class,Utah,Storage
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0,1,8/27/2016,CA-2016-143336,Anna Andreadi,94109,OFF-AR-10003056,Newell 341,$2,2,West,West,19,8.56,Consumer,9/1/2016,Second Class,California,Art
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,Anna Andreadi,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,$16,3,West,West,20,213.48,Consumer,9/1/2016,Second Class,California,Phones
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2016,CA-2016-143336,Anna Andreadi,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",$7,4,West,West,21,22.72,Consumer,9/1/2016,Second Class,California,Binders
Office Supplies,Fremont,United States,KB-16585,Ken Black,0,1,12/9/2018,CA-2018-137330,Kelly Williams,68025,OFF-AR-10000246,Newell 318,$5,7,Central,Central,22,19.46,Corporate,12/13/2018,Standard Class,Nebraska,Art
